City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Port Blair,IN,11.6667,92.75,85.69,64,100,8.77,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,60.01,84,20,5.01,few clouds
125,Walvis Bay,NA,-22.9575,14.5053,63.0,88,7,2.3,clear sky
126,Lebu,CL,-37.6167,-73.65,55.02,90,39,10.42,scattered clouds
127,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,1,14.97,clear sky
128,Bethel,US,41.3712,-73.414,43.0,85,0,1.3,clear sky
129,Xiaolingwei,CN,32.0333,118.85,60.8,33,0,6.71,clear sky
130,Kharhial,IN,20.2833,82.7667,89.02,19,9,2.33,clear sky
131,Ishigaki,JP,24.3448,124.1572,68.0,56,75,16.11,broken clouds
132,Havelock,US,34.8791,-76.9013,55.99,94,90,18.41,overcast clouds
133,Kupang,ID,-10.1667,123.5833,86.0,74,20,4.61,few clouds
134,Port Elizabeth,ZA,-33.918,25.5701,55.4,94,0,3.44,clear sky
135,Okha,RU,53.5739,142.9478,22.05,70,82,11.14,broken clouds
136,Guerrero Negro,MX,27.9769,-114.0611,57.78,81,97,17.74,overcast clouds
137,Camacha,PT,33.0833,-16.3333,59.0,51,75,8.05,broken clouds
138,Yarada,IN,17.65,83.2667,80.6,69,20,4.61,smoke
139,El Jicaro,GT,14.9167,-89.9,75.92,68,38,2.24,scattered clouds
140,Taoudenni,ML,22.6783,-3.9836,63.34,22,87,12.03,overcast clouds
141,Victoria,HK,22.2855,114.1577,66.99,60,99,1.99,overcast clouds
142,Krasnoselkup,RU,65.7,82.4667,5.56,93,100,10.63,overcast clouds
143,Lata,PT,40.1629,-8.3327,51.01,85,16,2.35,few clouds
144,Atuona,PF,-9.8,-139.0333,80.62,77,3,18.37,clear sky
145,San Vicente,AR,-26.6167,-54.1333,67.19,95,98,1.07,overcast clouds
146,Wajima,JP,37.4,136.9,50.0,46,40,14.97,scattered clouds
147,Leningradskiy,RU,69.3833,178.4167,-6.34,86,1,5.75,clear sky
148,Camana,PE,-16.6228,-72.7111,71.51,82,100,5.35,overcast clouds
149,Longyearbyen,SJ,78.2186,15.6401,17.6,67,40,26.46,snow
